Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Agricultural land (sq. km),AG.LND.AGRI.K2,Afghanistan,AFG,380400,377530,379100,379100,379100,379100,379100,379100,379100,379190,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Albania,ALB,11210,11440,12010,12013,11873,11742.9,11743,11817,11691.81,11740.81,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Algeria,DZA,386760,400210,413880,413981.9,414316.35,414310,414564,413602,413351.408,413588.47,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,American Samoa,ASM,30,48,49,49,49,49,49,49,49,49,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Andorra,AND,230,230,197.7,187.6,188.1,188,188.1,188.2,188.2,188.3,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Angola,AGO,574040,469613.9,530670.62,536221.24,541771.86,547322.48,552873.1,558423.8,563974.3,569524.9,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Antigua and Barbuda,ATG,90,90,90,90,90,90,90,90,90,90,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Argentina,ARG,1275650,1285100,1482810,1492540,1491990,1487000,1487000,1487000,1487000,1487680,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Armenia,ARM,..,13230,16981,16830,16830,16807,16767,16768,16761,16773,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Aruba,ABW,20,20,20,20,20,20,20,20,20,20,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Australia,AUS,4644370,4554690,3961210,3870760,3717750,3744230,3481190,3426020,3718370,3588950,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Austria,AUT,30239,29402,27573,27352,27164,27142,27184.5,26701.7,26546.2,26528.3,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Azerbaijan,AZE,..,47404,47687,47683,47698,47697,47698,47730,47775,47795,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,"Bahamas, The",BHS,120,130,140,140,140,140,140,140,140,140,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bahrain,BHR,80,92,86,86,86,86,86,86,86,86,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Bangladesh,BGD,103860,94000,91280,91200,91080,90990,91622.4,91942.1,91873.3,92023,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Barbados,BRB,190,180,140,130,125,120,110,100,100,100,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belarus,BLR,..,92520,88750,87960,87112,86239,85742,85327,84940,84530,..,..
Agricultural land (sq. km),AG.LND.AGRI.K2,Belgium,BEL,14430,13896,13357,13320,13365,13313,13280,13508,13270,13540,..,..
